id,educ,maeduc,paeduc
1232,12,12,8
1235,13,14,7
1237,14,12,7
1239,12,11,10
1244,15,6,12
1245,12,13,12
1246,13,12,3
1247,12,12,5
1248,10,12,16
1249,19,15,16
1250,18,14,16
1251,12,14,12
1253,16,12,12
1254,13,5,5
1255,16,12,16
1257,15,5,5
1259,17,18,20
1261,15,16,12
1263,16,16,16
1265,20,12,12
1266,18,12,16
1267,17,12,0
1268,19,16,12
1269,20,10,13
1270,17,15,14
1271,14,12,15
1272,20,14,17
1273,16,12,16
1275,13,12,12
1276,16,16,12
1277,13,12,10
1278,16,12,13
1279,16,12,16
1285,19,16,18
1287,20,18,16
1289,16,16,16
1290,16,11,10
1291,16,14,16
1292,16,8,8
1294,13,12,12
1295,18,12,12
1297,18,14,14
1298,17,12,18
1299,18,13,14
1304,14,12,12
1305,12,14,16
1306,16,14,16
1312,18,8,12
1314,12,11,12
1315,17,16,14
1316,14,14,12
1317,17,12,10
1318,17,14,16
1319,14,12,12
1320,14,16,12
1322,12,12,12
1323,16,12,10
1324,15,12,15
1325,14,16,12
1326,16,16,16
1327,16,12,12
1328,18,12,12
1329,16,13,20
1330,12,14,11
1331,18,16,16
1332,20,8,12
1333,12,12,12
1334,17,16,12
1336,17,12,17
1337,12,12,13
1338,13,12,12
1340,20,8,8
1342,19,12,16
1343,12,18,18
1344,19,12,16
1345,12,8,6
1346,17,16,20
1347,12,10,10
1349,14,10,12
1350,17,12,8
1351,16,13,15
1355,13,14,12
1356,12,16,14
1357,16,12,12
1358,16,12,18
1359,16,13,13
1360,17,12,10
1361,16,16,14
1363,16,12,14
1364,12,12,12
1365,16,11,16
1367,12,12,12
1368,17,15,13
1369,12,15,8
1370,18,12,12
1371,14,14,12
1372,13,18,10
1373,16,12,14
1374,20,13,16
1381,16,14,16
1384,12,11,13
1385,16,9,8
1386,12,13,12
1388,18,15,20
1389,13,10,9
1391,19,12,12
1392,14,5,3
1393,16,10,5
1395,14,12,14
1396,12,12,11
1397,14,13,6
1399,20,12,12
1400,16,16,16
1401,16,16,16
1402,18,14,20
1403,12,3,8
1405,15,12,12
1406,11,2,4
1407,15,12,14
1408,12,7,6
1411,12,12,16
1413,12,0,12
1414,14,12,12
1416,16,12,12
1417,12,12,12
1418,16,12,14
1419,14,12,16
1425,17,12,12
1426,16,9,10
1427,16,16,16
1428,17,12,13
1429,17,6,9
1430,13,12,12
1431,16,12,16
1432,14,0,0
1433,12,12,12
1434,12,12,12
1437,15,16,9
1438,13,12,14
1440,16,12,16
1442,13,12,12
1444,17,15,17
1445,19,14,12
1447,13,14,12
1448,17,8,8
1449,18,18,16
1451,19,12,12
1452,16,16,12
1453,12,12,12
1454,18,12,12
1455,14,12,16
1456,14,12,17
1458,14,16,12
1459,15,8,8
1466,12,12,12
1467,16,12,12
1468,18,18,16
1469,16,12,8
1470,18,12,12
1472,15,10,9
1474,18,12,12
1475,20,12,12
1477,20,4,12
1478,12,12,12
1479,17,12,0
1480,12,8,12
1481,14,16,16
1482,14,12,16
1483,17,13,17
1484,10,12,12
1487,17,12,13
1489,16,16,16
1490,12,12,12
1491,20,12,11
1493,11,14,14
1495,16,16,18
1496,16,12,12
1499,8,16,14
1502,14,12,12
1505,16,12,16
1506,8,11,4
1507,15,12,14
1508,16,12,12
1509,14,14,14
1512,14,12,12
1513,12,14,12
1514,16,12,12
1516,11,7,9
1517,16,12,12
1518,0,0,0
1519,16,12,9
1522,13,13,5
1523,12,12,11
1524,19,12,13
1525,18,12,13
1528,16,14,16
1534,12,13,12
1535,12,12,12
1537,16,16,12
1538,16,12,12
1539,16,12,12
1540,16,12,16
1541,13,0,0
1542,20,20,18
1543,16,16,16
1547,16,16,16
1548,14,12,12
1549,18,8,7
1552,12,15,3
1554,17,12,12
1555,12,12,12
1557,16,12,16
1558,13,12,3
1560,16,12,8
1561,14,12,12
1562,12,12,12
1563,12,4,5
1564,16,16,14
1567,14,12,12
1568,12,12,12
1569,15,17,16
1570,11,9,8
1572,16,11,8
1573,12,9,14
1575,16,20,12
1577,9,9,12
1580,12,12,12
1582,16,12,12
1584,16,16,16
1585,18,14,12
1586,18,14,14
1587,14,12,12
1588,16,12,6
